"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-08","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.62","","","","2"
"2018-09","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.86","","","","2"
"2018-10","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.64","","","","2"
"2018-11","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.45","","","","2"
"2018-12","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.93","","","","2"
"2019-01","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.96","","","","2"
"2019-02","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.71","","","","2"
"2019-03","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.53","","","","2"
"2019-04","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.93","","","","2"
"2019-05","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.73","","","","2"
"2019-06","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.81","","","","2"
"2019-07","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.76","","","","2"
"2019-08","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.96","","","","2"
"2019-09","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.78","","","","2"
"2019-10","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.01","","","","2"
"2019-11","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.76","","","","2"
"2019-12","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.04","","","","2"
"2020-01","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.84","","","","2"
"2020-02","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.78","","","","2"
"2020-03","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.73","","","","2"
"2020-04","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.05","","","","2"
"2020-05","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.80","","","","2"
"2020-06","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.95","","","","2"
"2020-07","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.35","","","","2"
"2020-08","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.28","","","","2"
"2020-09","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.96","","","","2"
"2020-10","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.83","","","","2"
"2020-11","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.02","","","","2"
"2020-12","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.97","","","","2"
"2021-01","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.07","","","","2"
"2021-02","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.24","","","","2"
"2021-03","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.92","","","","2"
"2021-04","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","4.91","","","","2"
"2021-05","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.17","","","","2"
"2021-06","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.10","","","","2"
"2021-07","Manitoba","2016A000246","Roasted or ground coffee, 340 grams","Dollars","81","units","0","v1353834591","7.63","5.17","","","","2"
